key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
advancements.adventure.lighten_up.description	Scrape a Copper Bulb with an Axe to make it brighter	用斧刮削铜灯来让它变得更亮	用斧頭為銅燈除鏽使其更加明亮	用斧頭刮銅燈使其變得更亮	斧で銅の電球の錆をとる
advancements.adventure.lighten_up.title	Lighten Up	铜光焕发	銅光煥發	「銅」光煥發	明るくなーれ
advancements.adventure.lightning_rod_with_villager_no_fire.description	Protect a Villager from an undesired shock without starting a fire	在不引发火灾的前提下保护村民免受雷击	保護村民不受雷擊的飛來橫禍，以免發生火災	在不引發火災的情況下保護村民免受雷擊	火事を起こすことなく不意な落雷から村人を守る
advancements.adventure.lightning_rod_with_villager_no_fire.title	Surge Protector	电涌保护器	突波保護器	突波保護裝置	危機一髪
advancements.adventure.minecraft_trials_edition.description	Step foot in a Trial Chamber	踏入试炼密室	踏入試煉密室	踏入試煉密室	試練の間に足を踏み入れる
advancements.adventure.minecraft_trials_edition.title	Minecraft: Trial(s) Edition	Minecraft：试炼版	Minecraft: 試煉版	Minecraft：試煉版	Minecraft: トライアル版
advancements.adventure.ol_betsy.description	Shoot a Crossbow	用弩进行一次射击	用弩發射箭矢	用弩射箭	クロスボウを撃つ
advancements.adventure.ol_betsy.title	Ol' Betsy	扣下悬刀	扣下扳機	扣下扳機	おてんば
advancements.adventure.overoverkill.description	Deal 50 hearts of damage in a single hit using the Mace	使用重锤一击造成50颗心的伤害	使用重錘一擊造成50顆心的傷害	用重錘一下打出 50 顆心傷害	メイスを使って一撃でハート50個分のダメージを与える
advancements.adventure.overoverkill.title	Over-Overkill	天赐良击	天賜良擊	揼到七彩	超・やり過ぎ
advancements.adventure.play_jukebox_in_meadows.description	Make the Meadows come alive with the sound of music from a Jukebox	用唱片机的音乐声为草甸增添生机	用唱片機的音樂為草甸注入生命力	用唱片機的音樂令到草甸處處飄颻生命力	ジュークボックスの音楽で草地を盛り上げる
advancements.adventure.play_jukebox_in_meadows.title	Sound of Music	音乐之声	真善美	仙樂飄飄處處聞	サウンド・オブ・ミュージック
advancements.adventure.read_power_from_chiseled_bookshelf.description	Read the power signal of a Chiseled Bookshelf using a Comparator	使用红石比较器获取雕纹书架的信号强度	使用紅石比較器讀取浮雕書櫃的紅石訊號	用紅石比較器讀取浮雕書櫃的紅石訊號	模様入りの本棚からレッドストーンコンパレーターを介して信号を読み取る
advancements.adventure.read_power_from_chiseled_bookshelf.title	The Power of Books	知识就是力量	知書就是力量	開卷有益	本は力なり
advancements.adventure.revaulting.description	Unlock an Ominous Vault with an Ominous Trial Key	用不祥试炼钥匙解锁不祥宝库	用不祥試煉鑰匙解鎖不祥寶庫	用不祥試煉鎖匙解鎖不祥寶庫	不吉な試練の鍵を使って不吉な宝物庫を解錠する
advancements.adventure.revaulting.title	Revaulting	宝经磨炼	逢凶化吉	逢凶化吉	怪錠
advancements.adventure.root.description	Adventure, exploration and combat	冒险、探索与战斗	冒險、探索和戰鬥	冒險、探索與戰鬥	冒険、探索、戦闘
advancements.adventure.root.title	Adventure	冒险	冒險	冒險	冒険
advancements.adventure.salvage_sherd.description	Brush a Suspicious block to obtain a Pottery Sherd	刷扫可疑的方块来获得陶片	刷拭可疑的方塊以取得陶器碎片	刷掃可疑的方塊以獲取陶器碎片	怪しげなブロックをブラシで払い、壺の欠片を手に入れる
advancements.adventure.salvage_sherd.title	Respecting the Remnants	探古寻源	探古尋源	探古尋源	文明の面影に敬意を
advancements.adventure.shoot_arrow.description	Shoot something with an Arrow	用弓箭射点什么	使用箭矢射擊任何東西	用箭隨意射擊	矢で何かを撃つ
advancements.adventure.shoot_arrow.title	Take Aim	瞄准目标	瞄準	瞄準目標	狙いを定めて
advancements.adventure.sleep_in_bed.description	Sleep in a Bed to change your respawn point	在床上睡觉以改变你的重生点	在床上睡覺以變更您的重生點	在牀上躺卧以變更你的重生點	ベッドで眠り、リスポーン地点を設定する
advancements.adventure.sleep_in_bed.title	Sweet Dreams	甜蜜的梦	甜美的夢	甜蜜夢鄉	良い夢見てね
advancements.adventure.sniper_duel.description	Kill a Skeleton from at least 50 meters away	从至少50米外射杀一只骷髅	在距50公尺遠外的地方射殺一隻骷髏	從至少 50 米以外射殺一隻骷髏骨	50m以上離れた場所からスケルトンを倒す
advancements.adventure.sniper_duel.title	Sniper Duel	狙击手的对决	狙擊手對決	狙擊手對決	スナイパー対決
advancements.adventure.spear_many_mobs.description	Hit five mobs in the same Charge attack using the Spear	用矛在一次冲锋攻击内命中五只生物	用矛在一次衝鋒攻擊內命中五隻生物	用矛衝鋒並一次擊中五隻生物	槍を構えて突撃し、5体のMobを一気に貫く
advancements.adventure.spear_many_mobs.title	Mob Kabob	生物串串香	生物串燒	生物串燒	Mobケバブ
advancements.adventure.spyglass_at_dragon.description	Look at the Ender Dragon through a Spyglass	透过望远镜观察末影龙	使用望遠鏡觀察終界龍	用望遠鏡觀察終界龍	望遠鏡を通してエンダードラゴンを観察する
advancements.adventure.spyglass_at_dragon.title	Is It a Plane?	那是飞机吗？	那是飛機嗎？	好似係架飛機？	あれは飛行機？
advancements.adventure.spyglass_at_ghast.description	Look at a Ghast through a Spyglass	透过望远镜观察恶魂	使用望遠鏡觀察地獄幽靈	用望遠鏡觀察地獄幽靈	望遠鏡を通してガストを観察する
advancements.adventure.spyglass_at_ghast.title	Is It a Balloon?	那是气球吗？	那是氣球嗎？	好似係個氣球？	あれは風船？
advancements.adventure.spyglass_at_parrot.description	Look at a Parrot through a Spyglass	透过望远镜观察鹦鹉	使用望遠鏡觀察鸚鵡	用望遠鏡觀察鸚鵡	望遠鏡を通してオウムを観察する
advancements.adventure.spyglass_at_parrot.title	Is It a Bird?	那是鸟吗？	那是鳥嗎？	好似係隻雀？	あれは鳥？
advancements.adventure.summon_iron_golem.description	Summon an Iron Golem to help defend a village	召唤一只铁傀儡来帮忙守卫村庄	生成一隻鐵魔像以協助保衛村莊	召喚一個鐵人以協助保衞村莊	村を守ってもらうためにアイアンゴーレムを召喚する
advancements.adventure.summon_iron_golem.title	Hired Help	招募援兵	招兵買馬	招兵買馬	お手伝いさん
advancements.adventure.throw_trident.description	Throw a Trident at something.
Note: Throwing away your only weapon is not a good idea.	往什么东西扔出三叉戟。
注：别把你唯一的武器也抖掉了。	將三叉戟擲向任何物品。
注意：拋棄你僅有的武器並不是個好主意。	將三叉戟擲向任何物品。
注意：拋棄你僅有的武器並非好主意。	トライデントを投げつける。
注意：唯一の武器を捨てることは良い考えではありません。
advancements.adventure.throw_trident.title	A Throwaway Joke	抖包袱	免洗笑話	掟個笑話畀你聽	もったいぶった一言
advancements.adventure.totem_of_undying.description	Use a Totem of Undying to cheat death	利用不死图腾逃离死神	使用不死圖騰來逃避死亡	用不死圖騰逃離死神	不死のトーテムを使用して死を免れる
advancements.adventure.totem_of_undying.title	Postmortal	超越生死	超越生死	超越生死	死を超えて
advancements.adventure.trade_at_world_height.description	Trade with a Villager at the build height limit	在建筑高度限制处与村民交易	在建築高度上限與村民交易	於建築高度上限處與村民交易	建築限界高度で村人と取引をする
advancements.adventure.trade_at_world_height.title	Star Trader	星际商人	星際貿易	星級商人	星の商人
advancements.adventure.trade.description	Successfully trade with a Villager	成功与一名村民进行交易	成功與村民進行交易	成功與村民交易	村人と取引をする
advancements.adventure.trade.title	What a Deal!	成交！	成交！	單生意幾着數喎！	良い取引だ！
advancements.adventure.trim_with_all_exclusive_armor_patterns.description	Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder	将下列锻造模板都至少使用一次：尖塔、猪鼻、肋骨、监守、幽静、恼鬼、潮汐、向导	將下列鍛造模板都至少使用一次：旋塔、豬鼻、肋骨、伏守、寂靜、惱鬼、潮汐、嚮導	將下列鍛造模板都至少用一次：尖塔、豬鼻、肋骨、守衞、沉靜、惱鬼、潮汐、嚮導	尖塔風、ブタの鼻風、あばら模様、監獄風、静寂、ヴェックス風、潮流風、先駆者風の防具装飾を、それぞれ最低一回以上施す
advancements.adventure.trim_with_all_exclusive_armor_patterns.title	Smithing with Style	匠心独具	匠心獨具	獨具匠心	オシャレな鍛冶職人
advancements.adventure.trim_with_any_armor_pattern.description	Craft trimmed armor at a Smithing Table	在锻造台中合成带有纹饰的盔甲	使用鍛造台合成帶有紋樣的盔甲	用鍛造台合成帶有紋飾的盔甲	鍛冶台で防具に装飾を施す
advancements.adventure.trim_with_any_armor_pattern.title	Crafting a New Look	旧貌锻新颜	鍛然一新	搞搞新花臣	おニューの衣装
advancements.adventure.two_birds_one_arrow.description	Kill two Phantoms with a piercing Arrow	用一支穿透箭射杀两只幻翼	使用貫穿箭矢一次殺死兩隻夜魅	用一支貫穿箭射殺兩隻夜魅	矢を貫通させて2体のファントムを倒す
advancements.adventure.two_birds_one_arrow.title	Two Birds, One Arrow	一箭双雕	一箭雙鵰	一箭雙雕	一石二鳥
advancements.adventure.under_lock_and_key.description	Unlock a Vault with a Trial Key	用试炼钥匙解锁宝库	用試煉鑰匙解鎖寶庫	用試煉鎖匙解鎖寶庫	試練の鍵を使って宝物庫を解錠する
advancements.adventure.under_lock_and_key.title	Under Lock and Key	珍藏密敛	妥善保管	鎖藏珍寶	錠と鍵に隠されしもの
advancements.adventure.use_lodestone.description	Use a Compass on a Lodestone	对着磁石使用指南针	對磁石使用羅盤	對磁石用指南針	コンパスの指し示す先をロードストーンに固定する
advancements.adventure.use_lodestone.title	Country Lode, Take Me Home	天涯共此石	天涯共此石	針尖指，遊子思	この道をずっとゆけば
advancements.adventure.very_very_frightening.description	Strike a Villager with lightning	雷击一名村民	以閃電制裁村民	雷擊一個村民	雷を村人に落とす
advancements.adventure.very_very_frightening.title	Very Very Frightening	魔女审判	非常驚世駭俗	天打雷劈	とてもとても恐ろしい
advancements.adventure.voluntary_exile.description	Kill a raid captain.
Maybe consider staying away from villages for the time being...	杀死一名袭击队长。
或许该考虑暂时远离村庄……	殺死突襲隊長。
或許該考慮暫時離村莊遠一點...	殺死突襲隊長。
或者考慮暫時遠離村莊⋯⋯	襲撃隊の大将を倒す。
当分の間村から離れて過ごされてみてはいかがでしょうか…
advancements.adventure.voluntary_exile.title	Voluntary Exile	自我放逐	自我放逐	自我放逐	自主的な亡命
advancements.adventure.walk_on_powder_snow_with_leather_boots.description	Walk on Powder Snow... without sinking in it	在细雪上行走……并且不陷进去	在粉雪上行走... 並且不陷下去	在幼雪上面步行⋯⋯但不要陷進去	粉雪の上を歩く…沈むことなく
advancements.adventure.walk_on_powder_snow_with_leather_boots.title	Light as a Rabbit	轻功雪上飘	輕功雪上飄	輕功雪上飄	ウサギのように軽く
advancements.adventure.who_needs_rockets.description	Use a Wind Charge to launch yourself upward 8 blocks	使用风弹将自己向上弹射8格	使用風彈將自己向上彈射 8 格	用風彈將自己向上彈 8 格	ウィンドチャージを使って8ブロック以上飛び上がる
advancements.adventure.who_needs_rockets.title	Who Needs Rockets?	还要啥火箭啊？	誰還需要火箭？	使乜要火箭？	ロケットいらず
advancements.adventure.whos_the_pillager_now.description	Give a Pillager a taste of their own medicine	让掠夺者也尝尝弩的滋味	讓掠奪者自食其果	令掠奪者自食其果	ピリジャーを奴らの手段で懲らしめる
advancements.adventure.whos_the_pillager_now.title	Who's the Pillager Now?	现在谁才是掠夺者？	現在誰才是掠奪者？	乜嘢叫風水輪流轉？	どっちが略奪者？
advancements.empty	There doesn't seem to be anything here...	这里好像什么都没有……	這裡似乎什麼都沒有...	此處似乎空無一物⋯⋯	ここには何もないようです…
advancements.end.dragon_breath.description	Collect Dragon's Breath in a Glass Bottle	用玻璃瓶收集一些龙息	使用玻璃瓶取得龍之吐息	用玻璃樽收集龍之吐息	ガラス瓶にドラゴンブレスを採取する
advancements.end.dragon_breath.title	You Need a Mint	你需要来点薄荷糖	你需要降火氣	你需要飲碗涼茶	口臭に気をつけよう
advancements.end.dragon_egg.description	Hold the Dragon Egg	获得龙蛋	取得龍蛋	得到龍蛋	ドラゴンの卵を持つ
advancements.end.dragon_egg.title	The Next Generation	下一世代	銀河飛龍	下一世代	ザ・ネクストジェネレーション
advancements.end.elytra.description	Find Elytra	找到鞘翅	找到鞘翅	得到鞘翅	エリトラを見つける
advancements.end.elytra.title	Sky's the Limit	天空即为极限	天下無難事	天下無難事	空はどこまでも高く
advancements.end.enter_end_gateway.description	Escape the island	逃离这座岛屿	逃離這座島	逃離這座島	島を脱出する
advancements.end.enter_end_gateway.title	Remote Getaway	远程折跃	逃向遠方	遠走高飛	遠方への逃走
advancements.end.find_end_city.description	Go on in, what could happen?	进去吧，又能发生什么呢？	進去吧，還能發生什麼事？	進入吧，又能出甚麼事？	入りたまえ、何が起こるだろうか？
advancements.end.find_end_city.title	The City at the End of the Game	在游戏尽头的城市	終末都市	終末之城	ゲームの果ての都市
advancements.end.kill_dragon.description	Good luck	祝君好运	祝你好運	祝你好運	幸運を祈る
advancements.end.kill_dragon.title	Free the End	解放末地	解放終界	解放終界	エンドの解放
advancements.end.levitate.description	Levitate up 50 blocks from the attacks of a Shulker	利用潜影贝的攻击向上飘浮50个方块	利用界伏蚌的攻擊向上飄浮50格	利用界伏蚌的攻擊向上飄浮 50 格	シュルカーの攻撃で50ブロック以上浮遊する
advancements.end.levitate.title	Great View From Up Here	这上面的风景不错	上面的風景真好	上面風景真係正	ここからの素晴らしい眺め
advancements.end.respawn_dragon.description	Respawn the Ender Dragon	复活末影龙	重生終界龍	復活終界龍	エンダードラゴンを復活させる
advancements.end.respawn_dragon.title	The End... Again...	结束了…再一次…	終界... 再臨...	終界⋯⋯復陷⋯⋯	おしまい…再び…
advancements.end.root.description	Or the beginning?	抑或是起点？	或是新的開始？	還是新的開始？	それともはじまり？
advancements.end.root.title	The End	末地	終界	終界	ジ・エンド
advancements.husbandry.allay_deliver_cake_to_note_block.description	Have an Allay drop a Cake at a Note Block	让悦灵向音符盒投掷一块蛋糕	讓悅靈朝音階盒投出一個蛋糕	令悦靈將蛋糕投在音符盒上面	アレイに音符ブロックの場所へケーキを落としてもらう
advancements.husbandry.allay_deliver_cake_to_note_block.title	Birthday Song	生日快乐歌	生日快樂歌	生日歌	バースデー・ソング
advancements.husbandry.allay_deliver_item_to_player.description	Have an Allay deliver items to you	让悦灵向你投掷物品	讓悅靈遞送物品給你	令悦靈向你運送物品	アレイにアイテムを運んできてもらう
advancements.husbandry.allay_deliver_item_to_player.title	You've Got a Friend in Me	找到一个好朋友	我是你好朋友	我係你嘅好朋友	君はともだち
advancements.husbandry.axolotl_in_a_bucket.description	Catch an Axolotl in a Bucket	用铁桶捕获一只美西螈	用鐵桶捕捉一隻六角恐龍	用鐵桶捉住一隻墨西哥蠑螈	バケツでウーパールーパーを捕まえる
advancements.husbandry.axolotl_in_a_bucket.title	The Cutest Predator	最萌捕食者	最可愛的捕食者	最得意嘅獵食者	いちばんカワイイ捕食者
advancements.husbandry.balanced_diet.description	Eat everything that is edible, even if it's not good for you	尝遍天下食材，即便是对身体不好的	吃遍所有可以食用的東西，即使它們對你的身體有害	進食所有可供食用的物品，即使其對身體有害	身体にどんな影響があろうと、食べられるものはすべて食べる
advancements.husbandry.balanced_diet.title	A Balanced Diet	均衡饮食	均衡飲食	均衡飲食	バランスの取れた食事
advancements.husbandry.breed_all_animals.description	Breed all the animals!	繁殖每种动物！	繁殖所有種類的動物！	繁殖所有種類的動物！	すべての種類の動物を繁殖させる
advancements.husbandry.breed_all_animals.title	Two by Two	成双成对	成雙成對	成雙成對	2匹ずつ
advancements.husbandry.breed_an_animal.description	Breed two animals together	繁殖一对动物	促使動物繁殖	餵養兩隻動物，令牠們繁殖	動物を繁殖させる
advancements.husbandry.breed_an_animal.title	The Parrots and the Bats	我从哪儿来？	送子鳥的禮物	我喺邊度嚟？	コウノトリの贈り物
advancements.husbandry.complete_catalogue.description	Tame all Cat variants!	驯服所有种类的猫！	馴服所有種類的貓！	馴服所有種類的貓！	すべての種類のネコを手懐ける
advancements.husbandry.complete_catalogue.title	A Complete Catalogue	百猫全书	貓科全書	百貓全書	猫大全集
advancements.husbandry.feed_snifflet.description	Feed a Snifflet	喂食一只小嗅探兽	餵食一隻幼年嗅探獸	餵食一隻幼年嗅探獸	子どものスニッファーに餌を与える
advancements.husbandry.feed_snifflet.title	Little Sniffs	小小嗅探兽	小小嗅探獸	小小嗅探獸	可愛らしい鼻の音
advancements.husbandry.fishy_business.description	Catch a fish	钓到一条鱼	捕獲一條魚	捉住一條魚	魚を捕る
advancements.husbandry.fishy_business.title	Fishy Business	腥味十足的生意	關漁生意	經營水產	生臭い仕事
advancements.husbandry.froglights.description	Have all Froglights in your inventory	在你的物品栏中集齐所有种类的蛙明灯	在你的物品欄中集齊所有種類的蛙光體	將所有蛙明燈放入你的物品欄	全種類のフロッグライトをインベントリに入れる
advancements.husbandry.froglights.title	With Our Powers Combined!	相映生辉！	同心協力！	相映生輝！	僕たちの力を合わせて！
advancements.husbandry.kill_axolotl_target.description	Team up with an Axolotl and win a fight	与美西螈并肩作战并赢得胜利	和六角恐龍結盟並贏得一場戰鬥	與墨西哥蠑螈並肩作戰並贏得勝利	ウーパールーパーと共に戦い、勝利する
advancements.husbandry.kill_axolotl_target.title	The Healing Power of Friendship!	友谊的治愈力！	療癒力滿點的友情！	友誼的治療波動！	友情の癒しパワー！
advancements.husbandry.leash_all_frog_variants.description	Get each Frog variant on a Lead	用拴绳拴住所有种类的青蛙	用拴繩牽著所有種類的青蛙	用牽繩牽住所有種類的青蛙	それぞれの種類のカエルをリードで繋ぐ
advancements.husbandry.leash_all_frog_variants.title	When the Squad Hops into Town	呱呱队出动	蛙軍壓境	呱呱隊出動	みんなで町に跳び込もう
advancements.husbandry.make_a_sign_glow.description	Make the text of any kind of sign glow	让任意种类告示牌上的文本发光	使任意種類告示牌上的文字發光	令任意種類的指示牌上面的文字發光	いずれかの種類の看板の文字を発光させる
advancements.husbandry.make_a_sign_glow.title	Glow and Behold!	眼前一亮！	光輝奪目！	熒光奪目！	この輝きに驚くことなかれ！
advancements.husbandry.netherite_hoe.description	Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices	用下界合金锭升级一把锄，然后重新考虑你的人生抉择	使用獄髓錠升級一把鋤頭，然後重新衡量你的人生抉擇	用地獄合金錠升級一把鋤頭，然後重新衡量你的人生抉擇	ネザライトインゴットでクワを強化し、己の人生の選択について考え直す
advancements.husbandry.netherite_hoe.title	Serious Dedication	终极奉献	敬業樂業	敬業樂業	真面目な献身
advancements.husbandry.obtain_sniffer_egg.description	Obtain a Sniffer Egg	获得嗅探兽蛋	取得嗅探獸蛋	獲取嗅探獸蛋	スニッファーの卵を手に入れる
advancements.husbandry.obtain_sniffer_egg.title	Smells Interesting	怪味蛋	逸聞趣事	逸聞趣事	興味深い匂い
advancements.husbandry.place_dried_ghast_in_water.description	Place a Dried Ghast block into water	将失水恶魂方块放在水中	將乾癟幽靈放入水中	將脱水幽靈方塊放入水中	乾燥したガストを水中に設置する
advancements.husbandry.place_dried_ghast_in_water.title	Stay Hydrated!	补水保湿！	補水保濕！	見字飲水！	水分補給を忘れずに！
advancements.husbandry.plant_any_sniffer_seed.description	Plant any Sniffer seed	种植任意嗅探兽种子	種植任意嗅探獸種子	種植任意嗅探獸種子	スニッファーが見つけた種を植える
advancements.husbandry.plant_any_sniffer_seed.title	Planting the Past	播种往事	種種往事	播種往事	遥か古の植物
advancements.husbandry.plant_seed.description	Plant a seed and watch it grow	种下种子，见证它的成长	種下一個種子並見證它的成長	種植一顆種子並見證它的成長	種を植え、成長を観察する
advancements.husbandry.plant_seed.title	A Seedy Place	开荒垦地	汗滴禾下土	汗滴禾下土	種だらけの場所
advancements.husbandry.remove_wolf_armor.description	Remove Wolf Armor from a Wolf using Shears	用剪刀移除狼身上的狼铠	使用剪刀移除狼身上的狼鎧	用剪刀移除狼身上的狼甲	ハサミを使ってオオカミから鎧を外す
advancements.husbandry.remove_wolf_armor.title	Shear Brilliance	华丽一剪	剪潔俐落	華麗一剪	キレがいいね
advancements.husbandry.repair_wolf_armor.description	Fully repair damaged Wolf Armor using Armadillo Scutes	用犰狳鳞甲修复损坏的狼铠	使用犰狳鱗甲完全修復耗損的狼鎧	用犰狳鱗甲完全修復破損的狼甲	アルマジロのウロコを使って損傷したオオカミの鎧を修復する
advancements.husbandry.repair_wolf_armor.title	Good as New	完好如初	復舊如新	整舊如新	まるで新品
advancements.husbandry.ride_a_boat_with_a_goat.description	Get in a Boat and float with a Goat	与山羊同船共渡	與山羊一起乘船航行	與山羊坐在同一條船	ヤギと一緒にボートに乗り、浮かぶ
advancements.husbandry.ride_a_boat_with_a_goat.title	Whatever Floats Your Goat!	羊帆起航！	飄羊過海！	「羊」帆起航！	あなたのヤギたい様に！
